"en","tr"
"Open the Ship Designer and drag your Matrix Core from the Armory onto an empty socket on one of your EQUIPPED modules. Its facet bonus applies while that module stays equipped.","Gemi Tasarımcısı'nı aç ve Matris Çekirdeğini Cephanelikten TAKILI modüllerinden birinin boş yuvasına sürükle. Faset bonusu, o modül takılı kaldığı sürece uygulanır."
" (Boss)"," (Bölüm Sonu)"
"[Click to remove]","[Kaldırmak için tıkla]"
"CRYO","KRİYO"
"CORROSION","KOROZYON"
"PLASMA","PLAZMA"
"PHASE %d/%d ▸ %s","AŞAMA %d/%d ▸ %s"
"CRYO-ONLY","SADECE KRİYO"
"CANNON %s","TOP %s"
"CANNON READY","TOP HAZIR"
"ENRAGE AT %d%%","ÖFKE EŞİĞİ %%%d"
"ENRAGED ×%.1f","ÖFKELİ ×%.1f"
"PLATING ×%.2f","KAPLAMA ×%.2f"
"PLATING REACTIVE","REAKTİF KAPLAMA"
"GRID %s +%d%%","AĞ %s +%d%%"
"ADAPTIVE GRID","ADAPTİF AĞ"
"PULSE %ds","DARBE %ds"
"NANITE REGEN","NANİT ONARIMI"
"NANITE STANDBY","NANİT BEKLEMEDE"
"SHIELD SIPHON","KALKAN SİFONU"
"VOLATILE CORE","KARARSIZ ÇEKİRDEK"
"CORE CRITICAL — BREACH ON KILL","ÇEKİRDEK KRİTİK — ÖLÜMDE PATLAR"
"CORROSIVE FIELD","KOROZİF ALAN"
"Boss Systems","Patron Sistemleri"
"ENRAGES at %d%% HP (ATK ×%.1f)","CAN %%%d altında ÖFKELENİR (SDR ×%.1f)"
"SHIELD PULSE — re-shields every %ds; ","KALKAN DARBESİ — her %ds'de kalkan yeniler;"
"SHIELD SIPHON — its hits steal your shield;","KALKAN SİFONU — vuruşları kalkanını çalar;"
"NANITE REPAIR — regenerates hull when badly hurt;","NANİT ONARIMI — ağır hasarda gövdesini yeniler;"
"REACTIVE PLATING — DEF grows as your hits land;","REAKTİF KAPLAMA — vuruşların isabet ettikçe SAV artar;"
"ADAPTIVE GRID — resists each damage type it absorbs;","ADAPTİF AĞ — aldığı her hasar türüne direnç kazanır;"
"CANNON CYCLE — every %dth shot hits ×%.1f; ","TOP DÖNGÜSÜ — her %d. atış ×%.1f vurur;"
"VOLATILE CORE — detonates on death; keep a hull buffer or limp out at 1 HP.","KARARSIZ ÇEKİRDEK — ölürken patlar;"
"CORROSIVE FIELD — constant hull decay that bypasses shields;","KOROZİF ALAN — kalkanları delen sürekli gövde hasarı;"
"PHASED (%d) — %s. Only the phase element breaches; ","AŞAMALI (%d) — %s. Sadece aşamanın elementi işler;"
"CANNON CYCLE","TOP DÖNGÜSÜ"
"ENRAGE","ÖFKE"
"SHIELD PULSE","KALKAN DARBESİ"
"REACTIVE PLATING","REAKTİF KAPLAMA"
"NANITE REPAIR","NANİT ONARIMI"
"PHASE GATE","AŞAMA GEÇİDİ"
"WARP-HARDENED","WARP'LA GÜÇLENDİRİLMİŞ"
"PHASE %d/%d — %s","AŞAMA %d/%d — %s"
"ENRAGED — ATK ×%.1f","ÖFKELENDİ — SDR ×%.1f"
"PHASED ×%d","AŞAMALI ×%d"
"KILLED BY MAIN CANNON SPIKE","ANA TOP DARBESİYLE YOK EDİLDİN"
"KILLED DURING ENRAGE","ÖFKE SIRASINDA YOK EDİLDİN"
"KILLED BY CORROSION","KOROZYONLA YOK EDİLDİN"
"Industrial Baseload","Endüstriyel Ana Güç"
"Construct a Biomass Plant in Infrastructure — 1,000 kW of grid power. It burns Wood; keep a stock, or add a Bio-Harvester to feed it automatically.","Altyapı'da bir Biyokütle Tesisi inşa et — 1.000 kW şebeke gücü. Odun yakar; stok tut ya da beslemeyi otomatikleştirmek için bir Biyo-Toplayıcı ekle."
"Research 'Industrial Automation'. The Infrastructure branch runs Blast Furnace → Automated Smelting → Industrial Automation. Hand-soldering ends here.","'Endüstriyel Otomasyon' araştır. Altyapı dalı şu yolu izler: Yüksek Fırın → Otomatik İzabe → Endüstriyel Otomasyon. El lehimi burada biter."
"The Assembly Line","Montaj Hattı"
"Commission an Electronics Assembler. It draws 1,500 kW — an underpowered line throttles and runs slow. It consumes Silicon, Copper and Resin from storage.","Bir Elektronik Birleştirici kur. 1.500 kW çeker — gücü yetmeyen hat kısılır ve yavaş çalışır. Depodan Silikon, Bakır ve Reçine tüketir."
"Passive Supply","Pasif Tedarik"
"Accumulate 100 Circuits. The Assembler produces them while you mine, fight — or sleep. Hand-crafting still works; the line just never gets tired.","100 Devre biriktir. Birleştirici sen madencilik yaparken, savaşırken — ya da uyurken üretir. Elle üretim hâlâ mümkün; ama hat asla yorulmaz."
"%s  ·  Lv %d","%s  ·  Svy %d"
"ACQUIRED","ALINDI"
"BUY · %d ◈","AL · %d ◈"
"UP · %d ◈","YÜKSELT · %d ◈"
"SOON · %d ◈","YAKINDA · %d ◈"
"MAX · Lv %d","MAKS · Svy %d"
"Need %d ◈","%d ◈ gerekli"
"Shard","Parça"
"Shards","Parça"
"  Atlas","  Atlas"
"%d-%d per cycle","döngü başına %d-%d"
"SHIELD REPAIR","KALKAN ONARIMI"
"Stock: %d","Stok: %d"
"Cost: ","Maliyet: "
"%s
Restores %d%% %s
Stock: %d","%s
%%%d %s yeniler
Stok: %d"
"In combat — swap builds from the Combat screen's loadout bar, or retreat first.","Savaştasın — yapıları Savaş ekranındaki teçhizat çubuğundan değiştir ya da önce geri çekil."
"   ▸  %s   (Power %s)","   ▸  %s   (Güç %s)"
"CLAIM: ","TALEP ET: "
"WARP  %d◇","WARP  %d◇"
"YIELD BONUS","EKSTRA KAYNAK"
"Skill level lifts every gather:","Yetenek seviyesi her toplamayı artırır:"
"+%d flat yield  (+1 per 10 levels)","+%d ekstra kaynak  (her 10 seviyede +1)"
"Milestones","Kilometre Taşları"
"Next: Lv %d  →  +%d","Sonraki: Svy %d  →  +%d"
"MAX  ·  Lv 100  →  +%d","MAKS  ·  Svy 100  →  +%d"
"Lv 100  →  +10","Svy 100  →  +10"
"Primary drop only.","Sadece ana kaynağa uygulanır."
"OUTPUT BONUS","EKSTRA ÜRETİM"
"Skill level lifts every craft:","Yetenek seviyesi her üretimi artırır:"
"+%d flat output  (+1 per 10 levels)","+%d ekstra üretim  (her 10 seviyede +1)"
"Applies to every output.","Tüm ürünlere uygulanır."
"Tactical Breach","Taktiksel İhlal"
"Exposed","Açık"
"Overdrive","Aşırı Yükleme"
"Severely Damaged","Ağır Hasarlı"
"High Integrity","Yüksek Bütünlüklü"
"A lucky-hit proc — a base 10% chance on hit. When it lands, your on-hit tactical effects (like applying Exposed) get their chance to fire. Raising Tactical Breach Chance makes those procs trigger more often.","Şanslı vuruş tetiği — vuruşta temel %10 ihtimal. Tetiklendiğinde, vuruş-anı taktik etkilerinin (Açık uygulamak gibi) tetiklenme şansı doğar. Taktik İhlal Şansı arttıkça bu tetikler daha sık çalışır."
"A debuff on the enemy. While Exposed, the target takes +20% damage for 3 seconds.","Düşman üzerinde bir zayıflatma. Açık iken hedef 3 saniye boyunca +%20 hasar alır."
"A buff on your ship. After a kill, you gain +25% Attack Speed for 5 seconds.","Gemine bir güçlendirme. Bir öldürmeden sonra 5 saniye boyunca +%25 Saldırı Hızı kazanırsın."
"An enemy below 35% Hull. Some weapons deal bonus damage to finish off wounded targets.","Gövdesi %35 altındaki düşman. Bazı silahlar yaralı hedefleri bitirmek için ekstra hasar verir."
"An enemy above 80% Hull — near full health. Some weapons deal bonus damage while the target is still fresh.","Gövdesi %80 üstündeki düşman — neredeyse tam can. Bazı silahlar hedef hâlâ tazeyken ekstra hasar verir."
"MINING","MADENCİLİK"
"SALVAGE","GANİMET"
"FIND","BULMA"
"SALVAGE YIELD","GANİMET VERİMİ"
"MODULE FIND","MODÜL BULMA"
"Module Find","Modül Bulma"
"%s LEVEL %d","%s SEVİYE %d"
"%s MILESTONE — LEVEL %d","%s DÖNÜM NOKTASI — SEVİYE %d"
"%s MASTERED — LEVEL %d","%s USTALAŞILDI — SEVİYE %d"
"Plate the Hull","Gövdeyi Zırhla"
"Bolt It On","Yerine Cıvatala"
"Craft an 'Iron Plate' in the Shipyard for hull armor.","Gövde zırhı için Tersanede bir 'Demir Plaka' üret."
"Open the Ship Designer, then DRAG the Iron Plate from your Armory onto the empty ARMOR slot. It cuts incoming hull damage.","Gemi Tasarımcısını açın, ardından Cephaneliğinizden Demir Plakayı boş ZIRH yuvasına SÜRÜKLEYİN. Gelen gövde hasarını azaltır."
"Hardened shielding lets the refinery handle live isotopes.","Sertleştirilmiş kalkan, rafinerinin canlı izotoplarla çalışmasını sağlar."
"Refines exotic matter into workable stock. Sector Delta is unlocked separately by Delta Sector Survey.","Egzotik maddeyi işlenebilir stoğa dönüştürür. Sektör Delta ayrıca Delta Sektör Araştırması ile açılır."
"Click to unequip  ·  Shift-click: unpin  ·  Esc: clear compare","Çıkarmak için tıkla  ·  Shift-tık: sabitlemeyi kaldır  ·  Esc: karşılaştırmayı temizle"
"Click to unequip  ·  Shift-click to pin & compare","Çıkarmak için tıkla  ·  Sabitleyip karşılaştırmak için Shift-tıkla"
"Sort · DPS","Sırala · DPS"
"Matrix Core removed","Matris Çekirdeği çıkarıldı"
"%s — click to remove this Matrix Core","%s — bu Matris Çekirdeğini çıkarmak için tıkla"
"Procurement: %s","Tedarik: %s"
"Deliver %d %s. Pays %s Liras per unit. Goods are consumed when you claim.","%d %s teslim et. Birim başına %s Lira öder. Mallar talep edildiğinde tüketilir."
"STATION PROCUREMENT ONLINE — your factory goods have a standing buyer.","İSTASYON TEDARİKİ AKTİF — fabrika ürünlerinin artık daimi bir alıcısı var."
"Station demand met — refilling. Order and goods are kept.","İstasyon talebi doldu — yenileniyor. Sipariş ve mallar korunur."
"REFINING","RAFİNERİ"
"CHEMICAL","KİMYASAL"
"STRUCTURAL","YAPISAL"
"ELECTRONICS","ELEKTRONİK"
"FABRICATION","FABRİKASYON"
"CAPITAL","KAPİTAL"
"No operating line yet — build one to open this market.","Henüz çalışan bir hat yok — bu pazarı açmak için bir tane kur."
"No operating line in this family yet.
Build its factory and the station's orders open up.","Bu ailede çalışan bir hat yok.
Fabrikasını kur, istasyonun siparişleri açılsın."
"STATION DEMAND: %s / %s Liras — refills continuously","İSTASYON TALEBİ: %s / %s Lira — sürekli yenilenir"
"ONE TASK AT A TIME","AYNI ANDA TEK GÖREV"
"Mining, Engineering, Research and Combat share a single active slot — starting one pauses the last. Pick the operation worth your next hour, then walk away; it keeps running.","Madencilik, Mühendislik, Araştırma ve Savaş tek bir aktif yuvayı paylaşır — birini başlatmak diğerini duraklatır. Sonraki saatine değecek işlemi seç ve çek git; çalışmaya devam eder."
"GATHER, REFINE, BUILD","TOPLA, İŞLE, İNŞA ET"
"Mine raw materials, refine them in Engineering, spend the results in the Shipyard and on Infrastructure. Later tiers do not want more raw ore — they want the things ore becomes.","Ham madde çıkar, Mühendislik'te işle, sonuçları Tersane'de ve Altyapı'da harca. İleri kademeler daha fazla ham cevher istemez — cevherin dönüştüğü şeyleri ister."
"RESEARCH OPENS THE GAME","ARAŞTIRMA OYUNU AÇAR"
"The Research Lab gates actions, recipes, buildings and sectors. If something looks missing or a recipe is greyed out, it is almost always a research node — look there first.","Araştırma Lab. eylemleri, tarifleri, binaları ve sektörleri kilitler. Bir şey eksik görünüyorsa ya da bir tarif soluksa, neredeyse her zaman bir araştırma düğümüdür — önce oraya bak."
"YOUR SHIP IS YOUR BUILD","GEMİN SENİN KURULUMUNDUR"
"Craft modules in the Shipyard, slot them in the Ship Designer. Batteries supply power and everything else draws it, so keep the grid margin positive. Save loadouts as presets and swap them per fight.","Modülleri Tersane'de üret, Gemi Tasarımcısı'nda yuvala. Bataryalar güç sağlar ve diğer her şey güç çeker; şebeke payını artıda tut. Dizilimleri önayar olarak kaydet ve her çatışmaya göre değiştir."
"FIGHT SMART, NOT HARD","ZORLA DEĞİL, AKILLA SAVAŞ"
"Every enemy resists one damage type and is weak to another — matching the weakness matters more than raw numbers. Sector bosses are deliberate gear checks: if one wall you, farm its sector for drops, then return.","Her düşman bir hasar türüne dirençlidir ve bir başkasına karşı zayıftır — zayıflığı tutturmak ham sayılardan daha önemlidir. Sektör patronları bilinçli birer ekipman sınavıdır: biri seni durdurursa, sektöründe ganimet için çalış ve geri dön."
"WEAR AND REPAIR","AŞINMA VE ONARIM"
"Losing a fight wears every equipped module to 50%, and worn gear can be destroyed outright on the next loss. Recycle surplus modules into Spare Parts and repair with the hammer tool in the Ship Designer.","Bir çatışmayı kaybetmek kuşanılmış her modülü %50'ye aşındırır ve aşınmış ekipman bir sonraki yenilgide tamamen yok olabilir. Fazla modülleri Yedek Parçalara geri dönüştür ve Gemi Tasarımcısı'ndaki çekiç aracıyla onar."
"INCOME THAT NEVER SLEEPS","HİÇ UYUMAYAN GELİR"
"Infrastructure buildings and Bounty contracts run in the background no matter which task is active. Missions and Orders pay you for things you were doing anyway — claim them.","Altyapı binaları ve Ödül Avı sözleşmeleri, hangi görev aktif olursa olsun arka planda çalışır. Görevler ve Siparişler zaten yapmakta olduğun şeyler için ödeme yapar — al onları."
"YOU ARE MEANT TO LEAVE","AYRILMAN GEREKİYOR"
"Progress accrues while the game is closed, up to a generous cap, and a report greets you on return. Offline combat is opt-in: it earns loot but risks module durability while unattended.","Oyun kapalıyken ilerleme birikir — cömert bir tavana kadar — ve dönüşünde seni bir rapor karşılar. Çevrimdışı savaş isteğe bağlıdır: ganimet kazandırır ama sen yokken modül dayanıklılığını riske atar."
"Repeatable delivery orders — turn materials in for Liras. The bar shows how much you currently OWN of each item; claiming CONSUMES the goods, so it's a steady way to convert surplus stock into cash.","Tekrarlanabilir teslimat siparişleri — malzemeleri Lira karşılığında teslim et. Çubuk her bir eşyadan şu anda ne kadar SAHİP olduğunu gösterir; talep etmek malları TÜKETİR, bu yüzden fazla stoğu nakde çevirmenin istikrarlı bir yoludur."
"Your corvette is UNPOWERED and batteries need an electrolyte. In the Mine page, extract 100 Lithium Ore — it refines two-to-one, so this is the 50 Lithium your batteries will need.","Korvetin GÜÇSÜZ ve bataryalar bir elektrolite ihtiyaç duyar. Madencilik sayfasında 100 Lityum Cevheri çıkar — ikiye bir rafine olur, yani bu bataryalarının ihtiyacı olan 50 Lityum demek."
"Refine 50 Lithium in the Engineering tab. Lithium is the electrolyte your ship's batteries run on — and the Battery Cells inside the shield repair kits later.","Mühendislik sekmesinde 50 Lityum rafine et. Lityum, gemi bataryalarının çalıştığı elektrolittir — ve ilerideki kalkan onarım kitlerinin içindeki Batarya Hücrelerinin de."
"You have raw Dirt and Water and nothing to do with them. Open the Research tab and unlock Basic Engineering.","Elinde ham Toprak ve Su var ama onlarla yapabileceğin bir şey yok. Araştırma sekmesini aç ve Temel Mühendislik'i araştır."
"Battery Electrolyte","Batarya Elektroliti"
"Defeat 1 Lunar Drone in Lunar Orbit, then click RETREAT to pull your ship out.","Ay Yörüngesi'nde 1 Ay Dronu yok et, ardından gemini çekmek için GERİ ÇEKİL'e tıkla."
"In the Engineering page, use the Charcoal Kiln to produce 50 Carbon. Copper smelting burns one Carbon per unit, and the copper run coming up needs all 50.","Mühendislik sayfasında Odun Kömürü Fırını'nı kullanarak 50 Karbon üret. Bakır izabesi birim başına bir Karbon yakar ve sıradaki bakır üretimi 50'sinin tamamını ister."
"Gather 100 Malachite Ore. It smelts two-to-one, one Carbon per unit — exactly the 50 Copper and the 50 Carbon you stocked.","100 Malahit Cevheri topla. İkiye bir eriyor, birim başına bir Karbon — tam olarak stokladığın 50 Bakır ve 50 Karbon."
"Refine 50 Copper in the Engineering tab. 20 goes into the pair of Micro-Missile Launchers you will build, the other 30 into your first Circuit Boards.","Mühendislik sekmesinde 50 Bakır rafine et. 20'si üreteceğin iki Mikro-Füze Fırlatıcı'ya, kalan 30'u ilk Devre Kartlarına gider."
"Field Manual","Saha Kılavuzu"
"The next research, Efficient Smelting, needs COMMON ARTIFACT — a material you don't craft or mine. When a mission names something you don't recognise, the ATLAS shows where it comes from. Open the Atlas (left sidebar), switch to the MATERIALS tab, type ""Common Artifact"" in the search box, and open its entry to see which enemies drop it.","Sıradaki araştırma olan Verimli İzabe, SIRADAN ESER ister — ne ürettiğin ne de çıkardığın bir materyal. Bir görev tanımadığın bir şeyin adını verdiğinde, ATLAS onun nereden geldiğini gösterir. Atlas'ı aç (sol kenar çubuğu), MATERYALLER sekmesine geç, arama kutusuna “Sıradan Eser” yaz ve hangi düşmanların düşürdüğünü görmek için kaydını aç."
"Open Research and walk the branch: 'Materials Science' → 'Organic Combustion' → 'Efficient Smelting'. The last one bills 20 Common Artifacts and 10 Circuit Boards and opens alloys.","Araştırma'yı aç ve dalı takip et: 'Malzeme Bilimi' → 'Organik Yanma' → 'Verimli İzabe'. Sonuncusu 20 Sıradan Eser ile 10 Devre Kartı ister ve alaşımları açar."
"Modern foundries burn Oxygen. In the Engineering tab, run Water Electrolysis to split Water — stock 70 Oxygen. The steel run ahead burns 2 per batch.","Modern dökümhaneler Oksijen yakar. Mühendislik sekmesinde Suyu ayırmak için Su Elektrolizi çalıştır — 70 Oksijen stokla. Sıradaki çelik üretimi parti başına 2 yakıyor."
